ID,Symposia,Weekday,Date,Time Block,Type,Title of Panel/Grouping,Title of Presentation or Screening,Presentation or Paper URL,Presenter/Moderator A,Presenter/Moderator B,Presenter/Moderator C,Presenter/Moderator D,Presenter/Moderator E,Presenter/Moderator F,Work A,Work B,Work C,Work D,Notes
0027,Orphans of the Storm: Saving Orphan Films in the Digital Age,Friday,"September 24, 1999",5:00pm,Screening,Rescued from the Low Countries,"Oscar Micheaux's  The Symbol of the Unconquered (1920) restoration-in-progress, from the Museum of Modern Art  with Turner/TCM/Warner Bros. ",,,,,,,,The Symbol of the Unconquered,,,,with piano accompaniment by Don Shabkie
0028,Orphans of the Storm: Saving Orphan Films in the Digital Age,Friday,"September 24, 1999",5:00pm,Screening,Rescued from the Low Countries,"Programming the Theatrical Short, 1935-40",,Nico de Klerk,,,,,,,,,,
0029,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",8:45am,Screening,,The Two Orphans,,,,,,,,,,,,
0030,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",9:00am - 10:30am,Panel,Early Cinema ,,,,,,,,,,,,,
0031,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",9:00am - 10:30am,Panel Presentation,Early Cinema ,"Frozen in Time: Looking at the Dawson City Archive Collection, 1913-1919",http://www.sc.edu/filmsymposium/archive/orphans1999/OS1.Jennifer%20M.%20Bean.htm,Jennifer M. Bean,,,,,,,,,,
0032,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",9:00am - 10:30am,Panel Presentation,Early Cinema ,The Biograph Collections,,Steven Higgins,,,,,,,,,,
0033,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",9:00am - 10:30am,Panel Presentation,Early Cinema ,Early Russian Films and the Tyranny of Modernity,,Yuri Tsivian,,,,,,,,,,
0034,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",10:45am - 12:30pm,Panel,Television and Video Preservation ,,,Gregory Lukow,William T. Murphy,,,,,,,,,
0035,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",10:45am - 12:30pm,Panel Presentation,Television and Video Preservation ,Archiving Local TV Stations,,Linda Tadic,,,,,,,,,,
0036,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",10:45am - 12:30pm,Panel Presentation,Television and Video Preservation ,Local Television News Archives at the 50th Anniversary of TV,,Steve Davidson,,,,,,,,,,
0038,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",10:45am - 12:30pm,Panel Presentation,Television and Video Preservation ,Television and Video Preservation at the Library of Congress,,Mike Mashon,,,,,,,,,,
0039,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",1:45pm - 3:15pm,Panel,"""Low"" and Local ",,,Stephen Parr ,,,,,,,,,,
0040,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",1:45pm - 3:15pm,Panel Presentation,"""Low"" and Local ",Saving Rubbish:  The High Priority of Preserving Low Films,,Eric Schaefer,,,,,,,,,,
0041,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",1:45pm - 3:15pm,Panel Presentation,"""Low"" and Local ",Up for Adoption? The Adaptability of H. Lee Waters’ Movies of Local People,http://www.sc.edu/filmsymposium/archive/orphans1999/OS1.Tom%20Whiteside.Jan30.htm,Tom Whiteside,,,,,,Movies of Local People,,,,
0042,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",1:45pm - 3:15pm,Panel Presentation,"""Low"" and Local ","Come to North Dakota!'  Community-Sponsored Motion Pictures, 1916-1920",,Mark Miller,,,,,,,,,,
0043,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",3:30pm - 5:30pm,Panel,Contemporary Filmmakers Use Orphan Films ,,,Carolyn Faber,,,,,,,,,,
0044,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",3:30pm - 5:30pm,Panel Presentation,Contemporary Filmmakers Use Orphan Films ,Iota (1998),,Carolyn Faber,,,,,,,,,,
0045,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",3:30pm - 5:30pm,Panel Presentation,Contemporary Filmmakers Use Orphan Films ,The Film of Her (1996) ,,Bill Morrison,,,,,,,,,,
0046,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",3:30pm - 5:30pm,Panel Presentation,Contemporary Filmmakers Use Orphan Films ,City Edition (1980) ,,Alan Berliner,,,,,,,,,,
0047,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",3:30pm - 5:30pm,Panel Presentation,Contemporary Filmmakers Use Orphan Films ,The Danube Express (1998),,Péter Forgács,,,,,,,,,,
0048,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",8:15pm,Screening,A Home for Home Movies,Excerpts from Family Album and Nobody's  Business ,,Alan Berliner,,,,,,Family Album,Nobody's Business,,,
0049,Orphans of the Storm: Saving Orphan Films in the Digital Age,Saturday,"September 25, 1999",8:15pm,Screening,A Home for Home Movies,The Maelstrom (A Video Opera),,Péter Forgács,,,,,,The Maelstrom,,,,
0050,Orphans of the Storm II: Documenting the 20th Century,Wednesday,"March 28, 2001",3:00pm - 5:30pm,Screening,"A pre-Orphans film program, presented by the USC History Department ",George Wallace: Settin' the Woods on Fire (2000),,,,,,,,,,,,
0051,Orphans of the Storm II: Documenting the 20th Century,Thursday,"March 29, 2001",10:00am - 11:45am ,Panel,Preservation and Copyright,,,,,,,,,Paper Print actuality films,Fox Movietone footage of Howard Walls ,,,
0052,Orphans of the Storm II: Documenting the 20th Century,Thursday,"March 29, 2001",10:00am - 11:45am ,Panel Presentation,Preservation and Copyright,The Film of Howard Walls,,,,,,,,,,,,
0053,Orphans of the Storm II: Documenting the 20th Century,Thursday,"March 29, 2001",10:00am - 11:45am ,Panel Presentation,Preservation and Copyright,Restoring Paper Print Films to 35mm,,,,,,,,,,,,
0054,Orphans of the Storm II: Documenting the 20th Century,Thursday,"March 29, 2001",10:00am - 11:45am ,Panel Presentation,Preservation and Copyright,Early Motion Picture Preservation Initiatives,,,,,,,,,,,,
0055,Orphans of the Storm II: Documenting the 20th Century,Thursday,"March 29, 2001",10:00am - 11:45am ,Panel Presentation,Preservation and Copyright,Legal Limbo: How American Copyright Law Makes Orphan Films,,,,,,,,,,,,
0056,Orphans of the Storm II: Documenting the 20th Century,Thursday,"March 29, 2001",12:45pm - 2:15pm ,Panel,Rescue Operations ,,,,,,,,,Alfred Leslie's Birth of a Nation 1965,,,,
0057,Orphans of the Storm II: Documenting the 20th Century,Thursday,"March 29, 2001",12:45pm - 2:15pm ,Panel Presentation,Rescue Operations ,The Artistic 'Paraphrasing' of Lost Films,,Alfred Leslie,,,,,,,,,,
0058,Orphans of the Storm II: Documenting the 20th Century,Thursday,"March 29, 2001",12:45pm - 2:15pm ,Panel Presentation,Rescue Operations ,The Rediscovery of Forugh Farrokhzad,,Jonathan Rosenbaum,,,,,,,,,,
0059,Orphans of the Storm II: Documenting the 20th Century,Thursday,"March 29, 2001",2:30pm - 4:30pm,Panel,Películas Huérfanas de América Latina,,,,,,,,,,,,,
0060,Orphans of the Storm II: Documenting the 20th Century,Thursday,"March 29, 2001",2:30pm - 4:30pm,Panel Presentation,Películas Huérfanas de América Latina,Orphan Films from Cuba,,Ivo Sarría,,,,,,,,,,
0061,Orphans of the Storm II: Documenting the 20th Century,Thursday,"March 29, 2001",2:30pm - 4:30pm,Panel Presentation,Películas Huérfanas de América Latina,Making The Lost Reels of Pancho Villa,,Gregorio Rocha,,,,,,,,,,
0062,Orphans of the Storm II: Documenting the 20th Century,Thursday,"March 29, 2001",2:30pm - 4:30pm,Panel Presentation,Películas Huérfanas de América Latina,El Automóvil Gris: Early Mexican Cinema's transition to fiction,,Charles Ramírez Berg,,,,,,,,,,
0063,Orphans of the Storm II: Documenting the 20th Century,Thursday,"March 29, 2001",8:00pm - 10:45pm,Screening,An evening with Charles Burnett,"Killer of Sheep (1977), a new restoration by UCLA Film and Television Archive",,,,,,,,Killer of Sheep,,,,
0064,Orphans of the Storm II: Documenting the 20th Century,Friday,"March 30, 2001",9:00am - 11:00am ,Panel,European Documents,,,,,,,,,,,,,
0065,Orphans of the Storm II: Documenting the 20th Century,Friday,"March 30, 2001",9:00am - 11:00am ,Panel Presentation,European Documents,Travel Films in Norway: The Persistence of the 'View' Aesthetic,,Bjørn Sørenssen,,,,,,,,,,
0066,Orphans of the Storm II: Documenting the 20th Century,Friday,"March 30, 2001",9:00am - 11:00am ,Panel Presentation,European Documents,State Ideology in Educational Films: Comparing Itineraries in France and Italy in the 1920s,,Christel Taillibert,,,,,,,,,,
0067,Orphans of the Storm II: Documenting the 20th Century,Friday,"March 30, 2001",9:00am - 11:00am ,Panel Presentation,European Documents,Presenting Africa: Paul Robeson and My Song Goes Forth,,Charles Musser,,,,,,My Song Goes Forth,,,,
0068,Orphans of the Storm II: Documenting the 20th Century,Friday,"March 30, 2001",11:15am - 12:15pm,Screening,"Amateur Films for the Dutch East Indies, 1912-1937",,,Nico de Klerk,,,,,,,,,,
0069,Orphans of the Storm II: Documenting the 20th Century,Friday,"March 30, 2001",1:15pm - 3:00pm,Panel,Orphaned Aspects of Classical Hollywood,,,,,,,,,,,,,
0070,Orphans of the Storm II: Documenting the 20th Century,Friday,"March 30, 2001",1:15pm - 3:00pm,Panel Presentation,Orphaned Aspects of Classical Hollywood,"'Gone With the Wind?': Ephemera, Material Culture, and Film Studies",,Mary Desjardins,,,,,,,,,,
0071,Orphans of the Storm II: Documenting the 20th Century,Friday,"March 30, 2001",1:15pm - 3:00pm,Panel Presentation,Orphaned Aspects of Classical Hollywood,Orphans on Display: Local Movie Exhibition in the 1920s and 30s,,Gregory A. Waller,,,,,,,,,,
0072,Orphans of the Storm II: Documenting the 20th Century,Friday,"March 30, 2001",1:15pm - 3:00pm,Panel Presentation,Orphaned Aspects of Classical Hollywood,"Theater Location and Community Building: A Geography of Racial Entrepreneurship and Urban Development in Black Atlanta, 1914-1936",,Dana F. White,Matthew Bernstein,,,,,,,,,
0073,Orphans of the Storm II: Documenting the 20th Century,Friday,"March 30, 2001",3:15pm - 3:45pm ,Screening,Music for Silent Documentaries and Newsfilm,"Performance, screening and talk by Martin Marks, for the National Film Preservation Foundation and the Treasures of American Film Archives DVD",,Martin Marks,,,,,,,,,,
0074,Orphans of the Storm II: Documenting the 20th Century,Friday,"March 30, 2001",3:45pm - 4:30pm,Screening,"Women Aviators of the Silent Era, 1927-1929",,,,,,,,,,,,,
0075,Orphans of the Storm II: Documenting the 20th Century,Friday,"March 30, 2001",8:30pm - 10:30pm,Roundtable,Roundtable discussion on women aviator films,,,,,,,,,,,,,"with responses by: Patricia Gilmartin (University of South Carolina, Geography & Women's Studies); Angela Dalle Vacche (Emory University); Jane Gaines (Women Film Pioneers Project); Antonia Lant (New York University); Amelie Hastie (University of California Santa Cruz); Jeff Lambert (National Film Preservation Foundation)"
0076,Orphans of the Storm II: Documenting the 20th Century,Friday,"March 30, 2001",8:30pm - 10:30pm,Screening,"SXSWX8 (2001), test projection films ",,,Ron Mann,,,,,,,,,,
0077,Orphans of the Storm II: Documenting the 20th Century,Friday,"March 30, 2001",8:30pm - 10:30pm,Screening,"films from ""Our Secret Century""",,,Rick Prelinger,,,,,,,,,,
0078,Orphans of the Storm II: Documenting the 20th Century,Friday,"March 30, 2001",8:30pm - 10:30pm,Screening,Films from the Lucas Basement,,,Jeffrey Sconce,,,,,,,,,,
0079,Orphans of the Storm II: Documenting the 20th Century,Saturday,"March 31, 2001",8:45am - 10:00am,Screening,Cavalcade of America and The Big Attack! (1956),16mm film prints of rare television series from the 1950s,,Larry Urbanski ,,,,,,Cavalcade of America,The Big Attack!,,,
0080,Orphans of the Storm II: Documenting the 20th Century,Saturday,"March 31, 2001",10:15am - 12:00pm ,Panel,Early Television,,,,,,,,,,,,,
0081,Orphans of the Storm II: Documenting the 20th Century,Saturday,"March 31, 2001",10:15am - 12:00pm ,Panel Presentation,Early Television,"Television at the Museum of Modern Art, 1948-1955",,Lynn Spigel,,,,,,,,,,
0082,Orphans of the Storm II: Documenting the 20th Century,Saturday,"March 31, 2001",10:15am - 12:00pm ,Panel Presentation,Early Television,Chicago TV's 'Portrait of America' (1949) ,,Barbara Selznick,,,,,,,,,,
0083,Orphans of the Storm II: Documenting the 20th Century,Saturday,"March 31, 2001",10:15am - 12:00pm ,Panel Presentation,Early Television,Los Angeles Television in the late 1940s,,Mark J. Williams,,,,,,,,,,
0084,Orphans of the Storm II: Documenting the 20th Century,Saturday,"March 31, 2001",1:00pm - 2:45pm,Panel,Amateur Film,,,,,,,,,,,,,
0085,Orphans of the Storm II: Documenting the 20th Century,Saturday,"March 31, 2001",1:00pm - 2:45pm,Panel Presentation,Amateur Film,For the Love of It: California Amateur Film Clubs,,Melinda Stone,,,,,,,,,,
0086,Orphans of the Storm II: Documenting the 20th Century,Saturday,"March 31, 2001",1:00pm - 2:45pm,Panel Presentation,Amateur Film,Mississippi Mule Race Movies,,Karen Glynn,,,,,,,,,,
0087,Orphans of the Storm II: Documenting the 20th Century,Saturday,"March 31, 2001",1:00pm - 2:45pm,Panel Presentation,Amateur Film,Making The Movie Queen,,Andrea McCarty,,,,,,,,,,
0088,Orphans of the Storm II: Documenting the 20th Century,Saturday,"March 31, 2001",3:00pm -3:30pm ,Panel Presentation,Small-Gauge Selection Criteria,National Film Registry and Small-Gauge Cinema,,Patrick Loughney,,,,,,,,,,
0089,Orphans of the Storm II: Documenting the 20th Century,Saturday,"March 31, 2001",3:30pm - 4:45pm,Screening,"My Father's Camera (2000), introduced by Karen Shopsowitz (National Film Board of Canada)",,,Karen Shopsowitz,,,,,,My Father's Camera,,,,
0090,Orphans of the Storm II: Documenting the 20th Century,Saturday,"March 31, 2001",4:45pm - 6:00pm,Roundtable,Less than 16mm? The Value of Home Movies?,,,,,,,,,,,,,"Respondents: Grover Crisp, Carolyn Faber, William T. Murphy, Eric Schaefer, Dwight Swanson, Alan Lewis, Susan Korda, Patricia Zimmermann. "
0091,Orphans III: Listening to Orphan Films,Thursday,"September 26, 2002",9:15am - 11am,Panel,Early Sound,,,William O’Farrell,,,,,,,,,,
0092,Orphans III: Listening to Orphan Films,Thursday,"September 26, 2002",9:15am - 11am,Panel Presentation,Early Sound,"Eubie Blake, Eddie Cantor & Calvin Coolidge: Restoring De Forest Phonofilms, 1922-25",,Ken Weissman,,,,,,,,,,
0093,Orphans III: Listening to Orphan Films,Thursday,"September 26, 2002",9:15am - 11am,Panel Presentation,Early Sound,British DeForest Phonofilm Recordings of the Music Hall Tradition,,David Pierce,,,,,,,,,,
0094,Orphans III: Listening to Orphan Films,Thursday,"September 26, 2002",11:15am - 12:45pm,Panel,Newsreels,,,,,,,,,,,,,
0095,Orphans III: Listening to Orphan Films,Thursday,"September 26, 2002",11:15am - 12:45pm,Panel Presentation,Newsreels,The Sound of Newsreels: Issues for Preservation & Restoration,,Bob Heiber,,,,,,,,,,
0096,Orphans III: Listening to Orphan Films,Thursday,"September 26, 2002",11:15am - 12:45pm,Panel Presentation,Newsreels,"Cinesound Review & Kodoka Front Line (Australia, 1942)",,Ray Edmondson,,,,,,,,,,
0097,Orphans III: Listening to Orphan Films,Thursday,"September 26, 2002",2:00pm - 3:45pm,Panel,Re-discovery: Sounds of the Films of Zora Neale Hurston,,,,,,,,,,,,,
0098,Orphans III: Listening to Orphan Films,Thursday,"September 26, 2002",2:00pm - 3:45pm,Panel Presentation,Re-discovery: Sounds of the Films of Zora Neale Hurston,On Making BlackSouth: The Life Journey of Zora Neale Hurston,,Kristy Andersen,,,,,,,,,,
0099,Orphans III: Listening to Orphan Films,Thursday,"September 26, 2002",2:00pm - 3:45pm,Panel Presentation,Re-discovery: Sounds of the Films of Zora Neale Hurston,"Zora Neale Hurston and the Beaufort, South Carolina Church Footage: The Recovery of Sound and Film",,Arlene Balkansky,,,,,,,,,,
0100,Orphans III: Listening to Orphan Films,Thursday,"September 26, 2002",2:00pm - 3:45pm,Panel Presentation,Re-discovery: Sounds of the Films of Zora Neale Hurston,Hurston’s Films as Performative Visual Anthropology,,Elaine Charnov ,,,,,,,,,,
0101,Orphans III: Listening to Orphan Films,Thursday,"September 26, 2002",4:00pm - 5:45pm,Panel,Germany,,,,,,,,,,,,,
0102,Orphans III: Listening to Orphan Films,Thursday,"September 26, 2002",4:00pm - 5:45pm,Panel Presentation,Germany,Perpetrator Images and The Third Reich in Colour (2001),,Frances Guerin,,,,,,,,,,
0103,Orphans III: Listening to Orphan Films,Thursday,"September 26, 2002",4:00pm - 5:45pm,Panel Presentation,Germany,"Röntgenstrahlen (Germany, 1937): Talking X-Ray Films",,Kay Hoffmann,,,,,,,,,,
0104,Orphans III: Listening to Orphan Films,Thursday,"September 26, 2002",4:00pm - 5:45pm,Panel Presentation,Germany,Weltwunder der Kinematographie: The Earliest Optical Sound Films,,Joachim Polzer,,,,,,,,,,
0105,Orphans III: Listening to Orphan Films,Thursday,"September 26, 2002",8:00pm - 10:00pm,Screening,No Title,,,,,,,,,,,,,
0106,Orphans III: Listening to Orphan Films,Thursday,"September 26, 2002",8:00pm - 10:00pm,Screening,No Title,Found Home Movies Meet the Avant Garde ,,Scott Stark,,,,,,,,,,
0107,Orphans III: Listening to Orphan Films,Thursday,"September 26, 2002",8:00pm - 10:00pm,Screening,No Title,16mm School Soundtracks: The Musical,,Skip Elsheimer,,,,,,,,,,
0108,Orphans III: Listening to Orphan Films,Thursday,"September 26, 2002",8:00pm - 10:00pm,Screening,No Title,Sonic Oddities from the San Francisco Media Archive,,Stephen Parr,,,,,,,,,,
0109,Orphans III: Listening to Orphan Films,Friday,"September 26, 2002",9:00am - 10:30am,Panel,Scoring,,,,,,,,,,,,,
0110,Orphans III: Listening to Orphan Films,Friday,"September 26, 2002",9:00am - 10:30am,Panel Presentation,Scoring,Live Piano Accompaniment & DeForest Sound for the Fleischer cartoon Has Anybody Here Seen Kelly? (1926),,Daniel Goldmark,,,,,,,,,,
0111,Orphans III: Listening to Orphan Films,Friday,"September 26, 2002",9:00am - 10:30am,Panel Presentation,Scoring,Composers for Classical Documentary,,Neil Lerner,,,,,,,,,,
0112,Orphans III: Listening to Orphan Films,Friday,"September 26, 2002",9:00am - 10:30am,Panel Presentation,Scoring,"Playback Pianists and the Crisis of Disembodiment, or ‘I Ghosted for the Abbott & Costello TV Show",,Ivan Raykoff,,,,,,,,,,
0113,Orphans III: Listening to Orphan Films,Friday,"September 26, 2002",10:45am -12:15pm,Panel,Shorts,,,,,,,,,,,,,
0114,Orphans III: Listening to Orphan Films,Friday,"September 26, 2002",10:45am -12:15pm,Panel Presentation,Shorts,"Shoes and The Unshod Maiden, or Giving Progressive Cinema a Good Talking To: Unmaking and Restoring the Films of Lois Weber",,Shelley Stamp ,,,,,,,,,,
0115,Orphans III: Listening to Orphan Films,Friday,"September 26, 2002",10:45am -12:15pm,Panel Presentation,Shorts,European Theatrical Shorts of the 1930s,,Nico de Klerk,,,,,,,,,,
0116,Orphans III: Listening to Orphan Films,Friday,"September 26, 2002",1:30pm - 2:30pm,Screening,My Song Goes Forth,"Charles Musser (Yale University), introduces a 35mm screening of the newly-preserved Paul Robeson documentary, My Song Goes Forth (1937, Great Britain/South Africa).",,Charles Musser,,,,,,My Song Goes Forth,,,,
0117,Orphans III: Listening to Orphan Films,Friday,"September 26, 2002",2:45pm - 4:15pm,Panel,Media Migration,,,Laura Kissel,,,,,,,,,,
0118,Orphans III: Listening to Orphan Films,Friday,"September 26, 2002",2:45pm - 4:15pm,Panel Presentation,Media Migration,Digitizing Filmed TV Ads from 1950s Norway,,Bjørn Sørenssen,,,,,,,,,,
0119,Orphans III: Listening to Orphan Films,Friday,"September 26, 2002",2:45pm - 4:15pm,Panel Presentation,Media Migration,A Model of Plenty: Putting Orphan Films (and Television) On-line,,Rick Prelinger,,,,,,,,,,
0120,Orphans III: Listening to Orphan Films,Friday,"September 26, 2002",2:45pm - 4:15pm,Panel Presentation,Media Migration,The Orphanage; the Center for Southern African-American Music; and the Internet Moving Images Archive,,Laura Kissel,,,,,,,,,,
0121,Orphans III: Listening to Orphan Films,Friday,"September 26, 2002",4:30pm - 5:30pm,Performance,People Like Us,British artist Vicki Bennett in performance,,Vicki Bennett,,,,,,,,,,
0122,Orphans III: Listening to Orphan Films,Friday,"September 26, 2002",8:00pm - 10:00pm,Screening,,From ABC Audio Archivist to Independent Documentarian: Selected Shorts by Alan Berliner,,Alan Berliner,,,,,,,,,,
0123,Orphans III: Listening to Orphan Films,Friday,"September 26, 2002",8:00pm - 10:00pm,Screening,,"New York-based filmmaker introduces his new film Decasia (2002), with new music soundtrack composed by Michael Gordon",,Bill Morrison,,,,,,Decasia,,,,
